pdate,name,weekday,volumn,open,high,low,close,adjclose
1998/4/3,^TWII,5,0,9087.830078,9143.730469,9043.769531,9134.02636,9134.02636
1998/4/7,^TWII,2,0,9283.980469,9337.610352,9264.820312,9266.645995,9266.645995
1998/4/8,^TWII,3,0,9263.94043,9279.280273,9222.209961,9263.406749,9263.406749
1998/4/9,^TWII,4,0,9335.419922,9335.419922,9065.879883,9090.276519,9090.276519
1998/4/10,^TWII,5,0,9178.160156,9178.740234,8992.089844,9053.986612,9053.986612
1998/4/13,^TWII,1,0,9014.740234,9014.740234,8851.139648,8863.078126,8863.078126
1998/4/14,^TWII,2,0,8906.44043,8910.139648,8738.910156,8764.548211,8764.548211
1998/4/15,^TWII,3,0,8887.639648,8887.639648,8720.870117,8807.277548,8807.277548
1998/4/16,^TWII,4,0,8855.790039,8859.089844,8773.089844,8780.178037,8780.178037
1998/4/17,^TWII,5,0,8724.650391,8796.650391,8589.30957,8619.458895,8619.458895
1998/4/20,^TWII,1,0,8741.950195,8741.950195,8507.44043,8508.528634,8508.528634
1998/4/21,^TWII,2,0,8513.530273,8596.209961,8371.639648,8440.169508,8440.169508
1998/4/22,^TWII,3,0,8553.160156,8636.509766,8526.099609,8636.478364,8636.478364
1998/4/23,^TWII,4,0,8624.820312,8653.230469,8586.05957,8613.928642,8613.928642
1998/4/24,^TWII,5,0,8571.019531,8640.379883,8571.019531,8636.078952,8636.078952
1998/4/27,^TWII,1,0,8623.610352,8649.040039,8453.480469,8471.589315,8471.589315
1998/4/28,^TWII,2,0,8327.459961,8434.669922,8327.459961,8434.639254,8434.639254
1998/4/29,^TWII,3,0,8466.379883,8488.80957,8342.660156,8348.319256,8348.319256
1998/4/30,^TWII,4,0,8422.089844,8436.25,8294.379883,8304.179768,8304.179768
1998/5/4,^TWII,1,0,8321.580078,8360.599609,8274.240234,8360.569211,8360.569211
1998/5/5,^TWII,2,0,8387.44043,8432.030273,8320.980469,8330.120103,8330.120103
1998/5/6,^TWII,3,0,8297.900391,8325.639648,8235.339844,8325.609377,8325.609377
1998/5/7,^TWII,4,0,8319.370117,8357.169922,8283.299805,8290.339974,8290.339974
1998/5/8,^TWII,5,0,8241.55957,8242.549805,8184.419922,8210.80999,8210.80999
1998/5/11,^TWII,1,0,8304.980469,8399.629883,8297.05957,8378.849418,8378.849418
1998/5/12,^TWII,2,0,8386.209961,8386.209961,8272.820312,8278.399588,8278.399588
1998/5/13,^TWII,3,0,8306.129883,8306.129883,8174.720215,8202.870566,8202.870566
1998/5/14,^TWII,4,0,8202.099609,8256.959961,8193.5,8193.470209,8193.470209
1998/5/15,^TWII,5,0,8198.030273,8229.320312,8160.25,8167.470304,8167.470304
1998/5/18,^TWII,1,0,8023.919922,8160.089844,8023.919922,8134.860559,8134.860559
1998/5/19,^TWII,2,0,8108.589844,8188.859863,8103.419922,8136.240437,8136.240437
1998/5/20,^TWII,3,0,8229.129883,8294.790039,8229.129883,8267.460175,8267.460175
1998/5/21,^TWII,4,0,8342.139648,8389.150391,8316.509766,8369.289883,8369.289883
1998/5/22,^TWII,5,0,8360.169922,8403.769531,8360.169922,8384.87967,8384.87967
1998/5/25,^TWII,1,0,8417.160156,8417.160156,8302.860352,8314.059615,8314.059615
1998/5/26,^TWII,2,0,8261.410156,8300.160156,8146.339844,8178.360401,8178.360401
1998/5/27,^TWII,3,0,8093.419922,8152.879883,8035.709961,8068.140587,8068.140587
