pdate,weekday,column,open,high,low,close,adjclose,change,changePercent
2003/6/12,4,5176000,4846.720215,4914.410156,4822.169922,4878.430176,4878.412438,73.780274,0.015356015
2003/6/16,1,4571400,4875.430176,4934.870117,4873.669922,4892.359863,4892.342075,13.929687,0.002855363
2003/6/17,2,6026400,4978.430176,4993.410156,4953.259766,4973.189941,4973.171859,80.830078,0.016521695
2003/6/18,3,6882800,5020.299805,5089.080078,4993.040039,4999.069824,4999.051648,25.879883,0.00520388
2003/6/19,4,6049200,5038.339844,5058.689941,4982.370117,5048.910156,5048.891799,49.840332,0.009969921
2003/6/20,5,6662400,5018.569824,5078.790039,4984.140137,5002.580078,5002.561889,-46.330078,-0.009176253
2003/6/23,1,4827800,5014.799805,5036.859863,4920.330078,4921.720215,4921.70232,-80.859863,-0.016163632
2003/6/24,2,3868400,4881.759766,4922.930176,4868.850098,4909.310059,4909.292209,-12.410156,-0.002521508
2003/6/25,3,4339800,4923.850098,4959.399902,4898.009766,4933.790039,4933.7721,24.47998,0.00498644
2003/6/26,4,3595200,4932.02002,4954.279785,4894.009766,4894.009766,4893.991972,-39.780273,-0.008062822
2003/6/27,5,3832800,4936.109863,4949.490234,4856.330078,4877.899902,4877.882167,-16.109864,-0.003291752
2003/6/30,1,2823400,4881.799805,4900.439941,4864.569824,4872.149902,4872.132188,-5.75,-0.001178786
2003/7/1,2,4937000,4893.580078,5017.779785,4893.580078,5017.779785,5017.761541,145.629883,0.029890271
2003/7/2,3,6554400,5075.209961,5121.72998,5047.830078,5095.240234,5095.221709,77.460449,0.015437196
2003/7/3,4,7780200,5167.859863,5197.720215,5095.310059,5095.310059,5095.291533,0.069825,1.37E-05
2003/7/4,5,5730000,5126.569824,5151.850098,5085.850098,5151.850098,5151.831366,56.540039,0.011096486
2003/7/7,1,7424800,5227.310059,5324.959961,5214.089844,5322.259766,5322.240415,170.409668,0.033077373
2003/7/8,2,8230200,5371.930176,5416.97998,5323.279785,5367.970215,5367.950698,45.710449,0.008588542
2003/7/9,3,6787000,5365.97998,5410.620117,5342.029785,5358.910156,5358.890672,-9.060059,-0.0016878
2003/7/10,4,6313600,5367.350098,5398.970215,5282.379883,5282.379883,5282.360677,-76.530273,-0.01428094
2003/7/11,5,5750600,5234.02002,5251.850098,5179.359863,5239.959961,5239.940909,-42.419922,-0.008030457
2003/7/14,1,6089600,5282.97998,5390.859863,5273.149902,5349.939941,5349.92049,109.97998,0.020988706
2003/7/15,2,6024200,5399.259766,5403.490234,5326.080078,5335.859863,5335.840463,-14.080078,-0.00263182
2003/7/16,3,6762800,5362.339844,5435.120117,5348.049805,5413.870117,5413.850433,78.010254,0.014619997
2003/7/17,4,6516200,5389.52002,5429.919922,5299.509766,5299.509766,5299.490497,-114.360351,-0.021123586
2003/7/18,5,4936200,5291.529785,5326.620117,5250.029785,5287.379883,5287.360659,-12.129883,-0.002288869
2003/7/21,1,4505000,5338.529785,5349.200195,5219.299805,5219.299805,5219.280828,-68.080078,-0.012875957
2003/7/22,2,4148800,5225.569824,5271.629883,5213.060059,5261.009766,5260.990637,41.709961,0.007991486
2003/7/23,3,4225600,5299.120117,5345.990234,5277.299805,5287.890137,5287.870911,26.880371,0.005109356
2003/7/24,4,5243000,5324.629883,5402.75,5305.700195,5402.75,5402.730356,114.859863,0.021721303
2003/7/25,5,4893600,5389.890137,5441.02002,5379.810059,5394.75,5394.730385,-8,-0.001480727
2003/7/28,1,5975600,5476.160156,5504.379883,5443.399902,5451.799805,5451.779983,57.049805,0.01057506
2003/7/29,2,4578000,5463.140137,5464.950195,5338,5342.459961,5342.440536,-109.339844,-0.020055734
2003/7/30,3,3653800,5327.240234,5354.959961,5278.810059,5307.180176,5307.160879,-35.279785,-0.006603659
2003/7/31,4,3774600,5294.52002,5328.549805,5260.830078,5318.339844,5318.320507,11.159668,0.002102749
2003/8/1,5,4059800,5365.72998,5408.149902,5363.890137,5390.509766,5390.490166,72.169922,0.013570009
2003/8/4,1,3253800,5393.100098,5400.410156,5361.870117,5377.189941,5377.170391,-13.319825,-0.002470977
2003/8/5,2,3761200,5403.839844,5407.5,5259.450195,5259.450195,5259.431073,-117.739746,-0.021896148
2003/8/6,3,2777200,5214.089844,5251.910156,5207.609863,5225.830078,5225.811078,-33.620117,-0.006392325
2003/8/7,4,3861400,5257.560059,5286.990234,5193.180176,5259.069824,5259.050703,33.239746,0.006360663
2003/8/8,5,3986200,5270.950195,5315.180176,5232.549805,5232.549805,5232.53078,-26.520019,-0.00504272
2003/8/11,1,2720200,5239.169922,5239.169922,5174.77002,5214.600098,5214.581138,-17.949707,-0.003430394
2003/8/12,2,3141000,5250.450195,5272.959961,5245.089844,5255.240234,5255.221127,40.640136,0.007793529
2003/8/13,3,5307000,5319.299805,5454.359863,5318.529785,5442.27002,5442.250232,187.029786,0.035589198
2003/8/14,4,6101200,5463.540039,5488.819824,5410.120117,5436.75,5436.730233,-5.52002,-0.001014286
2003/8/15,5,4964800,5491.850098,5540,5471.600098,5488.740234,5488.720278,51.990234,0.009562741
2003/8/18,1,4682600,5528.089844,5539.02002,5480.640137,5516.799805,5516.779746,28.059571,0.005112206
2003/8/19,2,5185800,5586.430176,5594.930176,5498.379883,5512.160156,5512.140115,-4.639649,-0.000841004
2003/8/20,3,3593200,5548.839844,5562.950195,5525.450195,5543.609863,5543.589707,31.449707,0.005705514
2003/8/21,4,4305000,5545.970215,5612.149902,5522.419922,5611.859863,5611.839459,68.25,0.012311472
2003/8/22,5,5632600,5648.939941,5692.930176,5629.200195,5646.620117,5646.599587,34.760254,0.00619407
2003/8/25,1,4412200,5667.040039,5686.850098,5626.600098,5686.850098,5686.829421,40.229981,0.007124613
2003/8/26,2,4241200,5656.069824,5656.069824,5542.430176,5558.25,5558.229791,-128.600098,-0.02261359
2003/8/27,3,4360600,5577.299805,5626.459961,5542.450195,5553.430176,5553.409984,-4.819824,-0.000867148
2003/8/28,4,3907400,5596.560059,5618.359863,5504.52002,5523.120117,5523.100036,-30.310059,-0.005457899
2003/8/29,5,4325200,5561.540039,5657.049805,5542.390137,5650.830078,5650.809532,127.709961,0.023122793
2003/9/1,1,4543000,5690.839844,5726.47998,5651.040039,5691.790039,5691.769344,40.959961,0.007248486
2003/9/2,2,3712200,5693.509766,5715.950195,5664.27002,5715.950195,5715.929413,24.160156,0.004244738
